Qv,N1,N2,C1,C2
l/min,1/min,,Nm,
0,-3.125,-1.5625,0.0684,0
2.6855,1500,2212.5,0.8008,1.0254
8.7891,1501.5625,2210.9375,0.752,1.0547
15.625,1501.5625,2209.375,0.8154,1.084
25.1465,1500,2212.5,0.8057,1.1426
41.748,1501.5625,2209.375,0.8105,1.2598
45.4102,1500,2206.25,0.8057,1.2598
55.6641,1500,2207.8125,0.8008,1.3184
68.1152,1503.125,2203.125,0.7422,1.4136
74.707,1500,2207.8125,0.7666,1.4209
85.9375,1503.125,2203.125,0.7471,1.4941
99.1211,1501.5625,2201.5625,0.8154,1.5601
105.957,1501.5625,2201.5625,0.7764,1.5894
117.9199,1501.5625,2200,0.8008,1.6479
124.7559,1500,2200,0.7812,1.6699
137.4512,1501.5625,2200,0.752,1.7212
142.0898,1501.5625,2198.4375,0.8057,1.7285
152.832,1503.125,2200,0.7715,1.7798
166.5039,1503.125,2201.5625,0.7959,1.8018
181.3965,1501.5625,2198.4375,0.7812,1.8384
